file_name,segments
across_10000.txt, 1-367-711-1087-1558
across_10044.txt, 1-674-1196-1624-2009
across_10062.txt, 1-350-628-987-1373
across_10063.txt, 1-336-722-1064-1375
across_10068.txt, 1-429-771-1112-1600
across_10070.txt, 1-452-1505-1941-2427
across_10075.txt, 1-1361-1874-2341-2816
across_10087.txt, 1-303-706-1099-1586
across_10128.txt, 1-742-1252-1794-2239
across_10176.txt, 1-356-698-1054-1530
across_10189.txt, 1-386-1005-1493-3493
across_10230.txt, 1-526-970-1464-1840
across_10247.txt, 1-320-643-1035-1548
across_10267.txt, 1-533-883-1401-2047
across_10323.txt, 1-342-887-1244-1677
across_10336.txt, 1-758-1624-1968-2286
across_10346.txt, 1-448-791-1196-1652
across_10349.txt, 1-913-1878-2247-2643
across_10350.txt, 1-440-860-1235-1571
across_10358.txt, 1-379-770-1273-1628
across_10396.txt, 1-355-732-1134-1559
across_10407.txt, 1-339-723-1081-1456
across_10421.txt, 1-470-941-1431-1828
across_10437.txt, 1-406-812-1349-1797
across_10447.txt, 1-496-905-1294-1586
across_10453.txt, 1-546-888-1276-1680
across_10464.txt, 1-443-782-1092-1457
across_10475.txt, 1-456-1032-1506-1954
across_10483.txt, 1-332-834-1209-2471
across_10499.txt, 1-342-721-1152-2689
across_10507.txt, 1-593-876-1152-1658
across_10554.txt, 1-428-794-1982-2345
across_11804.txt, 1-375-714-1140-1489
across_11809.txt, 1-378-888-1298-1645
across_11813.txt, 1-331-734-1262-1572
across_11816.txt, 1-425-842-1299-1760
across_11818.txt, 1-451-903-1388-1778
across_11826.txt, 1-344-704-1087-1440
across_11837.txt, 1-568-1105-1416-1879
across_11844.txt, 1-315-779-1246-1607
across_11850.txt, 1-315-663-984-1326
across_11861.txt, 1-358-799-1247-2308
across_11869.txt, 1-397-810-1305-1774
across_11890.txt, 1-323-866-1227-1567
across_11892.txt, 1-422-752-1109-1553
across_11895.txt, 1-455-849-1158-1553
across_11901.txt, 1-328-1247-1721-2149
across_11908.txt, 1-349-734-1156-1672
across_11928.txt, 1-366-862-1260-1602
across_11939.txt, 1-348-752-1099-1422
across_11954.txt, 1-513-1040-1420-1820
across_12018.txt, 1-389-783-1103-1416
across_12030.txt, 1-360-917-1379-1721
across_12031.txt, 1-312-610-1009-1461
across_12037.txt, 1-342-727-1178-1707
across_12044.txt, 1-303-805-1237-1600
across_12072.txt, 1-414-875-1246-1680
across_12074.txt, 1-465-791-1137-1522
across_12112.txt, 1-521-908-1214-1618
across_12130.txt, 1-382-801-1145-1634
across_12142.txt, 1-569-964-1385-1806
across_12153.txt, 1-403-858-1315-1758
across_12155.txt, 1-357-779-1128-1431
across_12188.txt, 1-497-897-1269-1652
across_12195.txt, 1-350-693-1055-1393
across_12242.txt, 1-316-760-1187-1517
across_12274.txt, 1-492-853-1275-1599
across_12330.txt, 1-356-697-1134-1490
across_12360.txt, 1-362-917-1256-1755
across_12407.txt, 1-510-948-1349-3371
across_12417.txt, 1-387-796-1242-1611
across_12431.txt, 1-462-861-1293-1965
across_12441.txt, 1-302-773-1158-1455
across_12443.txt, 1-544-1150-1494-2207
across_12444.txt, 1-400-857-1212-1947
across_12455.txt, 1-401-885-1245-1696
across_12457.txt, 1-360-750-1143-1528
across_12464.txt, 1-763-1192-1656-2390
across_12482.txt, 1-370-812-1212-1548
across_12484.txt, 1-336-652-1228-1572
across_12493.txt, 1-329-780-1125-1552
across_12504.txt, 1-309-620-1000-1436
across_12507.txt, 1-383-1741-2143-2587
across_12508.txt, 1-313-933-1531-1971
across_12512.txt, 1-455-920-1282-1667
across_12513.txt, 1-472-3005-3483-3908
across_12531.txt, 1-325-742-1114-1463
across_12959.txt, 1-336-688-1078-1500
across_12962.txt, 1-342-793-1140-1563
across_12971.txt, 1-391-736-1136-1472
across_12993.txt, 1-421-763-1153-1535
across_13017.txt, 1-435-785-1220-1573
across_13700.txt, 1-509-869-1250-1588
across_13718.txt, 1-386-899-1268-1823
across_13732.txt, 1-356-754-1202-1538
across_13737.txt, 1-1237-1682-2005-2383
across_13756.txt, 1-743-1086-1731-2266
across_13760.txt, 1-498-836-1227-1626
across_13766.txt, 1-336-762-1170-1566
across_13781.txt, 1-782-1183-1767-2256
across_13807.txt, 1-401-863-1335-1674
across_13821.txt, 1-396-831-1310-1704
across_13848.txt, 1-401-764-1106-1438
across_13864.txt, 1-540-968-1366-1813
across_13866.txt, 1-327-685-1141-1510
across_13883.txt, 1-433-884-1302-1623
across_13890.txt, 1-452-942-1265-1620
across_13921.txt, 1-470-788-1188-1587
across_13922.txt, 1-356-678-1089-1459
across_13935.txt, 1-404-791-1284-1620
across_13959.txt, 1-456-1007-1426-1926
across_13977.txt, 1-350-827-1202-1682
across_14043.txt, 1-494-1005-1338-1707
across_14058.txt, 1-348-810-1156-1663
across_14107.txt, 1-334-675-1030-1372
across_14125.txt, 1-374-769-1242-1672
across_14137.txt, 1-319-681-1101-1627
across_14139.txt, 1-311-624-1031-1373
across_14153.txt, 1-289-619-1096-1521
across_14155.txt, 1-954-1388-1870-2204
across_14183.txt, 1-372-766-2083-2364
across_14184.txt, 1-339-770-1157-1487
across_14199.txt, 1-437-884-1273-1637
across_14272.txt, 1-538-899-1344-1723
across_14289.txt, 1-538-925-1335-1675
across_14313.txt, 1-422-755-1380-1752
across_14314.txt, 1-352-731-1127-1615
across_14361.txt, 1-342-660-1041-1374
across_14366.txt, 1-466-855-1214-1622
across_14367.txt, 1-416-829-1245-1595
across_14390.txt, 1-371-786-1297-1618
across_14395.txt, 1-442-924-1275-1801
across_14417.txt, 1-360-747-1181-1682
across_14422.txt, 1-373-758-1145-1609
across_14440.txt, 1-301-798-1168-1518
across_14449.txt, 1-404-1045-1450-1762
across_14462.txt, 1-413-709-1124-1631
across_14464.txt, 1-585-1048-1811-2215
across_14487.txt, 1-386-1174-1582-2388
across_14491.txt, 1-489-824-1316-1712
